gene_id	gene_name	logCPM	logFC	PValue	FDR	location	gene_biotype	entrezid	ave_tx_len	gc_content	rankingStat	signedRank	DE
ENSG00000100003	SEC14L2	6.068567657912354	3.365768096653128	7.872944013542066e-9	1.221802181461593e-4	22:30396941-30425303:+	protein_coding	23541	1251.0588235294117	55.256723716381416	8.103862836922797	15519	TRUE
ENSG00000169213	RAB3B	2.816299173138703	1.8896302450224887	4.860963329228086e-7	0.003476252938201594	1:51907956-51990700:-	protein_coding	5865	12780	44.6870109546166	6.313277655200702	15518	TRUE
ENSG00000182352	C17orf77	3.014839986013086	2.986170331960123	6.71999408119388e-7	0.003476252938201594	17:74584679-74594209:+	lncRNA	146723	1878.6666666666667	45.95457771469127	6.172631109461944	15517	TRUE
ENSG00000156853	ZNF689	6.425274724254006	2.47623486591599	8.023321336633388e-6	0.031128480955803384	16:30602558-30624012:-	protein_coding	115509	1441	58.362248438584295	5.095645813813699	15516	TRUE
ENSG00000104205	SGK3	4.160035358510886	1.3873119492746997	1.4784507214219726e-5	0.045888153491495186	8:66712734-66862022:+	protein_coding	23678	1641.5714285714287	39.01314071882342	4.830193146465004	15515	TRUE
ENSG00000182795	C1orf116	5.513720474833319	3.3109862815046385	3.234556464702389e-5	0.08366180295952728	1:207018522-207032756:-	protein_coding	79098	4321.5	52.55119750086778	4.490185263106078	15514	FALSE
ENSG00000179388	EGR3	4.3552136348708	2.2865150570571346	4.4445682161587585e-5	0.09708209458181918	8:22687659-22693480:-	protein_coding	1960	1860.4	59.03031606106214	4.3521704237709455	15513	FALSE
ENSG00000196208	GREB1	5.389480740211703	1.9941437432402407	5.004554137860387e-5	0.09708209458181918	2:11482341-11642788:+	protein_coding	9687	3229.9	53.35459302145576	4.300634608312991	15512	FALSE
ENSG00000163406	SLC15A2	4.0231893360980795	1.1823874532333414	8.014773083866491e-5	0.1153151137384807	3:121894401-121944188:+	protein_coding	6565	1484.4285714285713	42.40207872197091	4.09610876898291	15511	FALSE
ENSG00000112297	CRYBG1	4.850304901747261	1.0683785174132052	8.146471502550267e-5	0.1153151137384807	6:106360717-106572017:+	protein_coding	202	3470.25	48.49794683380163	4.089030457369369	15510	FALSE
ENSG00000005469	CROT	5.031225750398862	0.9241894296497936	8.502472887337728e-5	0.1153151137384807	7:87345664-87399794:+	protein_coding	54677	1574.4285714285713	39.35214590327558	4.070454744270087	15509	FALSE
ENSG00000152661	GJA1	5.178487010689298	1.4588693405462594	8.916691570731158e-5	0.1153151137384807	6:121435595-121449727:+	protein_coding	2697	2787.25	41.66292941070946	4.049796255388657	15508	FALSE
ENSG00000127663	KDM4B	6.9339226257411815	0.9354648108105397	2.1879501715791182e-4	0.26119075932874103	19:4969113-5153598:+	protein_coding	23030	2790.9166666666665	61.08506763010956	3.6599625728571836	15507	FALSE
ENSG00000145088	EAF2	4.318080022870555	1.1621208694443819	2.4408201020088865e-4	0.27037451388010947	3:121835183-121886526:+	protein_coding	55840	836.8	41.204588910133864	3.612464228605741	15506	FALSE
ENSG00000157214	STEAP2	3.8107377581453745	0.8088116964941063	2.613324124106993e-4	0.27037451388010947	7:90167590-90238137:+	protein_coding	261729	3202.9	38.23722251709389	3.582806722465031	15505	FALSE
ENSG00000253125	AC055854.1	1.8873093143170379	1.5035303750298181	3.431277265339553e-4	0.3328124492550283	8:22690150-22798616:+	lncRNA	NA	830.6666666666666	54.49438202247186	3.4645441872362244	15504	FALSE
ENSG00000151929	BAG3	7.28968155285427	0.688677531081752	3.683196117944157e-4	0.33623247384926686	10:119651380-119677819:+	protein_coding	9531	1853.5	58.24116536282708	3.4337751557925698	15503	FALSE
ENSG00000156284	CLDN8	3.0462912498665955	1.2770326010465483	4.270125075889739e-4	0.35989841619686036	21:30214006-30216097:-	protein_coding	9073	2092	37.3326959847036	3.3695594039039722	15502	FALSE
ENSG00000114790	ARHGEF26	5.604726825206138	0.5201595053960327	4.4062567869968086e-4	0.35989841619686036	3:154121003-154257827:+	protein_coding	26084	3928.6	46.14875528177975	3.3559301967163293	15501	FALSE
ENSG00000109062	SLC9A3R1	9.602503687500677	0.5950930068286822	4.68904692169259e-4	0.3638465958887365	17:74748628-74769353:+	protein_coding	9368	1070.4	61.19207772795217	3.3289154214027126	15500	FALSE
ENSG00000186868	MAPT	7.151379959266866	0.6188036258176377	4.941360733473298e-4	0.3651665582036767	17:45894551-46028334:+	protein_coding	4137	2790.125	56.346041844003416	3.3061534402133415	15499	FALSE
ENSG00000233622	CYP2T1P	5.1195026469970815	1.8793401793231757	5.777229889593997e-4	0.386954768111626	19:40808474-40812100:-	transcribed_unitary_pseudogene	171523	1996.5	59.00325569747056	3.2382803505136915	15498	FALSE
ENSG00000198740	ZNF652	7.725692944491995	0.46391711032873156	5.826157995869012e-4	0.386954768111626	17:49289206-49362473:-	protein_coding	22834	5686.25	41.78061112332383	3.23461774219313	15497	FALSE
ENSG00000183111	ARHGEF37	4.762723935338894	0.633838576485827	5.9842222016103e-4	0.386954768111626	5:149551947-149634968:+	protein_coding	389337	2009.6666666666667	53.72366893348812	3.2229922889501457	15496	FALSE
ENSG00000139211	AMIGO2	4.289190096828511	-0.6314659802162718	0.0010538655537728422	0.6139191634509001	12:47075707-47079951:-	protein_coding	347902	3225.6666666666665	44.610933140436096	-2.977214790431722	1	FALSE
ENSG00000155850	SLC26A2	3.8266467465872798	0.7254710088156344	0.001062496951992264	0.6139191634509001	5:149960758-149993455:+	protein_coding	1836	3080.6666666666665	40.44579095433885	2.973672307145735	15495	FALSE
ENSG00000163644	PPM1K	5.762340615736658	0.6351795648170112	0.0011045096869728888	0.6139191634509001	4:88257620-88284769:-	protein_coding	152926	2028.5	42.02119792950455	2.956830470846939	15494	FALSE
ENSG00000150594	ADRA2A	2.350723275946935	1.5675682000143303	0.0011085009708189872	0.6139191634509001	10:111077029-111080907:+	protein_coding	150	3879	59.7061098221191	2.9552639221966337	15493	FALSE
ENSG00000047644	WWC3	5.825993761895991	0.566241585050213	0.0011859615219356676	0.6139191634509001	X:10015254-10144474:+	protein_coding	55841	3741	54.55760491847103	2.9259294012602037	15492	FALSE
ENSG00000169116	PARM1	3.2350054681324307	0.9121344619931997	0.0011867758814051812	0.6139191634509001	4:74933095-75050115:+	protein_coding	25849	4659.5	44.83313660263974	2.925631288340262	15491	FALSE
ENSG00000154734	ADAMTS1	3.960724330580948	0.5743369405628918	0.0013444002576449294	0.6661273353885557	21:26835755-26845409:-	protein_coding	9510	2109.6666666666665	45.90772633907407	2.8714714129730448	15490	FALSE
ENSG00000144331	ZNF385B	0.5016378259727675	1.9600257233373033	0.0014348381620983106	0.6661273353885557	2:179441982-179861612:-	protein_coding	151126	1349.3076923076924	44.43304258594152	2.843197081000594	15489	FALSE
ENSG00000197408	CYP2B6	3.201635486013106	2.3381030276974935	0.0014504324421922422	0.6661273353885557	19:40991282-41018398:+	protein_coding	1555	1658	51.18214716525932	2.8385024948285027	15488	FALSE
ENSG00000111961	SASH1	2.5762298197276268	1.2961981333501755	0.0014593936080424573	0.6661273353885557	6:148272304-148552048:+	protein_coding	23328	1673.5454545454545	48.29702862730188	2.8358275602335286	15487	FALSE
ENSG00000164120	HPGD	5.748012145695186	1.2786113176909402	0.0016709786352751728	0.7340362946367257	4:174490175-174523154:-	protein_coding	3248	1427.0714285714287	39.316282096201014	2.7770291028543146	15486	FALSE
ENSG00000151892	GFRA1	4.544764849434334	0.6167303534417771	0.0017027712228186176	0.7340362946367257	10:116056925-116273467:-	protein_coding	2674	4614	47.63762462071954	2.7688436980983107	15485	FALSE
ENSG00000256612	CYP2B7P	6.548863386816675	2.332818154764898	0.0019313752661497426	0.8100814258210232	19:40924219-40950660:+	transcribed_unprocessed_pseudogene	1556	1376.6666666666667	52.03389830508478	2.71413333461836	15484	FALSE
ENSG00000066468	FGFR2	3.2311138005884983	1.1730954415799637	0.002381002794042243	0.9498736483752614	10:121478332-121598458:-	protein_coding	2263	2317.5185185185187	50.65603375257698	2.623240094962018	15483	FALSE
ENSG00000148344	PTGES	5.306356685988466	2.0500238800428	0.0023870785673455247	0.9498736483752614	9:129738331-129753042:-	protein_coding	9536	1809.5	56.64548217739707	2.622133286563801	15482	FALSE
ENSG00000115594	IL1R1	4.327680885283866	-0.7467847521110992	0.002631005855396072	0.9998281229217031	2:102064544-102179874:+	protein_coding	3554	1773.923076923077	42.38324443866269	-2.5798781853755766	2	FALSE
ENSG00000149292	TTC12	4.447942264782434	0.4614516313998876	0.0027455224009047276	0.9998281229217031	11:113314579-113383544:+	protein_coding	54970	1124.9545454545455	48.68075477797082	2.5613750085018183	15481	FALSE
ENSG00000184156	KCNQ3	1.9348992130135032	0.7614367310310051	0.0028242650930918635	0.9998281229217031	8:132120859-132481095:-	protein_coding	3786	4879.875	47.58318604472452	2.5490945416628383	15480	FALSE
