gene_id	gene_name	logCPM	logFC	PValue	FDR	location	gene_biotype	entrezid	ave_tx_len	gc_content	rankingStat	signedRank	DE
ENSG00000100003	SEC14L2	5.8463201847211215	3.3438763295144494	9.378439955311996e-12	1.453283055475147e-7	22:30396941-30425303:+	protein_coding	23541	1251.0588235294117	55.256723716381416	11.027869397777321	15496	TRUE
ENSG00000182795	C1orf116	5.222156595542985	3.280791157684346	1.5578457900003755e-10	1.2070189180922909e-6	1:207018522-207032756:-	protein_coding	79098	4321.5	52.55119750086778	9.807475535024535	15495	TRUE
ENSG00000182352	C17orf77	2.776426812129914	2.962285861198599	1.9272977877098277e-9	9.955135506117163e-6	17:74584679-74594209:+	lncRNA	146723	1878.6666666666667	45.95457771469127	8.715051177110292	15494	TRUE
ENSG00000156853	ZNF689	6.273179754492886	2.3575705430773404	2.585203095919881e-9	1.001507679359362e-5	16:30602558-30624012:-	protein_coding	115509	1441	58.362248438584295	8.587505332658031	15493	TRUE
ENSG00000256612	CYP2B7P	6.303758092907782	1.9039383863203745	6.528611604884122e-9	2.023347308585687e-5	19:40924219-40950660:+	transcribed_unprocessed_pseudogene	1556	1376.6666666666667	52.03389830508478	8.185179167338706	15492	TRUE
ENSG00000169213	RAB3B	2.6041733239641447	1.9381029398467453	1.4502353931078504e-8	3.2626115973063566e-5	1:51907956-51990700:-	protein_coding	5865	12780	44.6870109546166	7.838561500088675	15491	TRUE
ENSG00000196208	GREB1	5.230910750228397	1.6704881625301689	1.5895847016572418e-8	3.2626115973063566e-5	2:11482341-11642788:+	protein_coding	9687	3229.9	53.35459302145576	7.7987163255772884	15490	TRUE
ENSG00000145088	EAF2	4.150921059912844	1.2591860561273018	1.684363240736374e-8	3.2626115973063566e-5	3:121835183-121886526:+	protein_coding	55840	836.8	41.204588910133864	7.773564245118997	15489	TRUE
ENSG00000179388	EGR3	4.135685629943212	1.9446737254263007	8.456275549514843e-8	1.4559827323920224e-4	8:22687659-22693480:-	protein_coding	1960	1860.4	59.03031606106214	7.072820873893152	15488	TRUE
ENSG00000197408	CYP2B6	2.954123869230447	1.8046657601124603	9.963103218209529e-8	1.5438824746937484e-4	19:40991282-41018398:+	protein_coding	1555	1658	51.18214716525932	7.001605370347753	15487	TRUE
ENSG00000127663	KDM4B	6.8644799881965675	0.8879232399633925	1.7596893558860982e-7	2.2454892742957599e-4	19:4969113-5153598:+	protein_coding	23030	2790.9166666666665	61.08506763010956	6.7545639929426455	15486	TRUE
ENSG00000152661	GJA1	5.091339523066272	1.3039496627760092	1.8717000196379449e-7	2.2454892742957599e-4	6:121435595-121449727:+	protein_coding	2697	2787.25	41.66292941070946	6.727763755093341	15485	TRUE
ENSG00000104205	SGK3	3.9779646474258996	1.4260685091887826	1.883799726758188e-7	2.2454892742957599e-4	8:66712734-66862022:+	protein_coding	23678	1641.5714285714287	39.01314071882342	6.724965270432245	15484	TRUE
ENSG00000148344	PTGES	5.028003269264061	1.975679685975083	4.20822308795444e-7	4.545852345113757e-4	9:129738331-129753042:-	protein_coding	9536	1809.5	56.64548217739707	6.375901245256534	15483	TRUE
ENSG00000233622	CYP2T1P	5.037256351699855	1.4311112565612252	4.4003475204379423e-7	4.545852345113757e-4	19:40808474-40812100:-	transcribed_unitary_pseudogene	171523	1996.5	59.00325569747056	6.356513023457303	15482	TRUE
ENSG00000005469	CROT	4.97629676817879	1.0482540259300024	8.903194523566018e-7	8.622743896073688e-4	7:87345664-87399794:+	protein_coding	54677	1574.4285714285713	39.35214590327558	6.050454137733773	15481	TRUE
